date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:46	696/696	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:23%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-02-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-02-min.png	(from https://www.amazonebookpublishers.co/)
21:12:46	806/806	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:23%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-03-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-03-min.png	(from https://www.amazonebookpublishers.co/)
21:12:47	926/926	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:23%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-04-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-04-min.png	(from https://www.amazonebookpublishers.co/)
21:12:47	1747/1747	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:24%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-05-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-05-min.png	(from https://www.amazonebookpublishers.co/)
21:12:47	2655/2655	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:24%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-06-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-06-min.png	(from https://www.amazonebookpublishers.co/)
21:12:48	1912/1912	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:24%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-07-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-07-min.png	(from https://www.amazonebookpublishers.co/)
21:12:48	1808/1808	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:25%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-08-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-08-min.png	(from https://www.amazonebookpublishers.co/)
21:12:48	1970/1970	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:25%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-09-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-09-min.png	(from https://www.amazonebookpublishers.co/)
21:12:49	1751/1751	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:06%20GMT	https://www.amazonebookpublishers.co/images/client-placeholder.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/client-placeholder.png	(from https://www.amazonebookpublishers.co/)
21:12:49	8356/8356	---M--	200	added ('OK')	image/webp	date:Fri,%2028%20Feb%202025%2023:57:24%20GMT	https://www.amazonebookpublishers.co/images/author-book-01.webp	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/author-book-01.webp	(from https://www.amazonebookpublishers.co/)
21:12:50	1022/1022	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:22%20GMT	https://www.amazonebookpublishers.co/images/Amazon-logo.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/Amazon-logo.png	(from https://www.amazonebookpublishers.co/)
21:12:50	9929/9929	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:24%20GMT	https://www.amazonebookpublishers.co/images/author-book-02.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/author-book-02.png	(from https://www.amazonebookpublishers.co/)
21:12:50	15070/15070	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:25%20GMT	https://www.amazonebookpublishers.co/images/author-book-03.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/author-book-03.png	(from https://www.amazonebookpublishers.co/)
21:12:51	20035/20035	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:25%20GMT	https://www.amazonebookpublishers.co/images/author-book-04.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/author-book-04.png	(from https://www.amazonebookpublishers.co/)
21:12:51	20220/20220	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:25%20GMT	https://www.amazonebookpublishers.co/images/author-book-05.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/author-book-05.png	(from https://www.amazonebookpublishers.co/)
21:12:51	18513/18513	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:26%20GMT	https://www.amazonebookpublishers.co/images/author-book-06.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/author-book-06.png	(from https://www.amazonebookpublishers.co/)
21:12:51	10350/10350	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:26%20GMT	https://www.amazonebookpublishers.co/images/author-book-07.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/author-book-07.png	(from https://www.amazonebookpublishers.co/)
21:12:52	10569/10569	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:26%20GMT	https://www.amazonebookpublishers.co/images/author-book-08.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/author-book-08.png	(from https://www.amazonebookpublishers.co/)
21:12:52	13413/13413	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:27%20GMT	https://www.amazonebookpublishers.co/images/author-book-09.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/author-book-09.png	(from https://www.amazonebookpublishers.co/)
21:12:52	12393/12393	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:27%20GMT	https://www.amazonebookpublishers.co/images/author-book-10.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/author-book-10.png	(from https://www.amazonebookpublishers.co/)
21:12:53	1708/1708	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:09%20GMT	https://www.amazonebookpublishers.co/images/doing-icon.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/doing-icon.png	(from https://www.amazonebookpublishers.co/)
21:12:53	1823/1823	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:09%20GMT	https://www.amazonebookpublishers.co/images/doing-icon-hover.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/doing-icon-hover.png	(from https://www.amazonebookpublishers.co/)
21:12:53	1060/1060	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:21%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-010-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-010-min.png	(from https://www.amazonebookpublishers.co/)
21:12:54	311/311	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:47%20GMT	https://www.amazonebookpublishers.co/images/tab-arrow.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/tab-arrow.png	(from https://www.amazonebookpublishers.co/)
21:12:54	1051/1051	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:21%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-011-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-011-min.png	(from https://www.amazonebookpublishers.co/)
21:12:54	2790/2790	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:22%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-012-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-012-min.png	(from https://www.amazonebookpublishers.co/)
21:12:55	3471/3471	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:22%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-013-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-013-min.png	(from https://www.amazonebookpublishers.co/)
21:12:55	1925/1925	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:22%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-014-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-014-min.png	(from https://www.amazonebookpublishers.co/)
21:12:55	2332/2332	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:23%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-015-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-015-min.png	(from https://www.amazonebookpublishers.co/)
